id,event_name,event_type,department,year_of_study,age,rating,satisfaction_score,feedback,suggestions
96,AI Workshop,Academic,ECE,3rd Year,21,1,96,Amazing event! Very well organized.,Include more fun activities.
97,Tech Fest,Entertainment,BBA,2nd Year,23,2,59,Good experience but seating arrangement needs improvement.,Include more fun activities.
98,Annual Day,Sports,CSE,3rd Year,17,2,97,Amazing event! Very well organized.,Make events more interactive.
99,AI Workshop,Technical,Civil,4th Year,19,4,89,Amazing event! Very well organized.,Include more fun activities.
100,Annual Day,Sports,Management,3rd Year,20,1,78,Loved the activities! Had a great time.,Better sound system needed.
101,Cultural Night,Academic,Mechanical,2nd Year,24,4,42,Good experience but seating arrangement needs improvement.,Increase volunteer support.
102,Cultural Night,Sports,BCA,4th Year,21,5,59,Audio quality was poor but overall enjoyable.,Provide shaded areas for outdoor events.
103,Tech Fest,Technical,Mechanical,1st Year,22,3,67,Amazing event! Very well organized.,Make events more interactive.
104,Sports Meet,Technical,CSE,4th Year,19,2,71,"Too crowded, management needs to improve.",Increase volunteer support.
105,Tech Fest,Entertainment,Mechanical,2nd Year,21,1,43,Loved the activities! Had a great time.,Improve seating arrangement.
106,Tech Fest,Academic,BCA,4th Year,24,4,69,Scheduling was smooth; had a really good time.,Improve seating arrangement.
107,Tech Fest,Academic,Management,3rd Year,20,1,58,Good experience but seating arrangement needs improvement.,Include more fun activities.
108,Hackathon,Sports,Management,1st Year,23,2,97,"Event started late, timing should be improved.",Increase volunteer support.
109,Cultural Night,Entertainment,CSE,3rd Year,24,5,41,"Too crowded, management needs to improve.",Include more fun activities.
110,AI Workshop,Academic,Civil,3rd Year,24,2,58,Loved the activities! Had a great time.,Better sound system needed.
111,Cultural Night,Sports,ECE,4th Year,19,1,71,Good experience but seating arrangement needs improvement.,Include more fun activities.
112,Freshers Party,Cultural,Civil,4th Year,19,5,96,Scheduling was smooth; had a really good time.,Better sound system needed.
113,Tech Fest,Cultural,BCA,4th Year,21,4,71,Lighting and stage setup were impressive.,Provide shaded areas for outdoor events.
114,Annual Day,Technical,CSE,1st Year,24,5,64,Lighting and stage setup were impressive.,Increase volunteer support.
115,Freshers Party,Cultural,ECE,2nd Year,22,2,83,Speakers were inspiring and knowledgeable.,Provide shaded areas for outdoor events.
116,Annual Day,Technical,CSE,4th Year,24,2,81,Amazing event! Very well organized.,Start the event on time.
117,AI Workshop,Academic,IT,2nd Year,21,1,49,Speakers were inspiring and knowledgeable.,Start the event on time.
118,Tech Fest,Technical,ECE,4th Year,22,5,68,The host was engaging and the event was fun.,Include more fun activities.
119,Sports Meet,Cultural,CSE,3rd Year,17,1,55,"Too crowded, management needs to improve.",Include more fun activities.
120,AI Workshop,Sports,CSE,4th Year,18,5,94,Loved the activities! Had a great time.,Include more fun activities.
121,Cultural Night,Cultural,CSE,1st Year,22,1,47,Volunteers were helpful and polite.,Add more food stalls.
122,Annual Day,Entertainment,Management,4th Year,20,3,58,The host was engaging and the event was fun.,Add more food stalls.
123,Annual Day,Academic,Civil,1st Year,19,5,64,"Too crowded, management needs to improve.",Better sound system needed.
124,AI Workshop,Sports,ECE,3rd Year,23,4,96,Lighting and stage setup were impressive.,Add more food stalls.
125,Annual Day,Academic,BCA,2nd Year,24,4,47,Amazing event! Very well organized.,Better sound system needed.
126,Tech Fest,Entertainment,BBA,4th Year,19,3,85,"Too crowded, management needs to improve.",Better sound system needed.
127,Guest Lecture,Sports,IT,4th Year,24,3,62,"Event started late, timing should be improved.",Add more food stalls.
128,AI Workshop,Technical,CSE,3rd Year,22,4,94,Audio quality was poor but overall enjoyable.,Improve seating arrangement.
129,Tech Fest,Technical,Management,1st Year,22,5,60,Scheduling was smooth; had a really good time.,Include more fun activities.
130,Tech Fest,Entertainment,ECE,2nd Year,17,5,79,Volunteers were helpful and polite.,Add more food stalls.
131,Sports Meet,Technical,BBA,1st Year,19,1,61,Scheduling was smooth; had a really good time.,Add more food stalls.
132,Tech Fest,Academic,Mechanical,1st Year,18,5,92,"Too crowded, management needs to improve.",Improve seating arrangement.
133,Tech Fest,Cultural,IT,3rd Year,18,2,41,The host was engaging and the event was fun.,Add more food stalls.
134,Cultural Night,Technical,IT,2nd Year,22,1,52,Volunteers were helpful and polite.,Include more fun activities.
135,AI Workshop,Sports,BBA,2nd Year,24,1,73,Scheduling was smooth; had a really good time.,Increase volunteer support.
136,Hackathon,Technical,ECE,2nd Year,20,1,84,Food stalls were great and affordable.,Better sound system needed.
137,Tech Fest,Cultural,Civil,3rd Year,17,1,63,Good experience but seating arrangement needs improvement.,Include more fun activities.
138,Freshers Party,Academic,BCA,3rd Year,20,3,41,Amazing event! Very well organized.,Include more fun activities.
139,Annual Day,Sports,BBA,1st Year,22,2,69,Scheduling was smooth; had a really good time.,Make events more interactive.
140,AI Workshop,Academic,Civil,4th Year,21,5,56,Volunteers were helpful and polite.,Provide shaded areas for outdoor events.
141,Annual Day,Academic,BCA,1st Year,22,3,68,Volunteers were helpful and polite.,Start the event on time.
142,Annual Day,Academic,Mechanical,2nd Year,18,2,46,Food stalls were great and affordable.,Increase volunteer support.
143,Freshers Party,Sports,Management,2nd Year,19,3,97,Speakers were inspiring and knowledgeable.,Improve seating arrangement.
144,Sports Meet,Entertainment,CSE,1st Year,23,5,82,"Too crowded, management needs to improve.",Increase volunteer support.
145,Sports Meet,Academic,Mechanical,4th Year,17,4,41,"Event started late, timing should be improved.",Add more food stalls.
146,Guest Lecture,Academic,Management,2nd Year,18,4,87,"Event started late, timing should be improved.",Better sound system needed.
147,Freshers Party,Cultural,ECE,1st Year,22,1,43,Loved the activities! Had a great time.,Add more food stalls.
148,Cultural Night,Entertainment,BBA,3rd Year,18,4,91,The host was engaging and the event was fun.,Better sound system needed.
149,Hackathon,Technical,BBA,4th Year,20,1,85,Loved the activities! Had a great time.,Include more fun activities.
150,Guest Lecture,Entertainment,Civil,2nd Year,18,2,92,Lighting and stage setup were impressive.,Include more fun activities.
151,Annual Day,Academic,IT,4th Year,18,3,76,"Event started late, timing should be improved.",Start the event on time.
152,Sports Meet,Academic,CSE,2nd Year,20,5,51,Scheduling was smooth; had a really good time.,Provide shaded areas for outdoor events.
153,Freshers Party,Cultural,ECE,1st Year,20,5,75,Loved the activities! Had a great time.,Improve seating arrangement.
154,Freshers Party,Cultural,Civil,3rd Year,24,3,93,Lighting and stage setup were impressive.,Add more food stalls.
155,Sports Meet,Academic,IT,1st Year,24,2,74,Lighting and stage setup were impressive.,Improve seating arrangement.
156,Tech Fest,Cultural,CSE,4th Year,21,3,68,Speakers were inspiring and knowledgeable.,Better sound system needed.
157,Tech Fest,Cultural,Management,2nd Year,21,5,74,"Too crowded, management needs to improve.",Start the event on time.
158,Cultural Night,Technical,BBA,3rd Year,24,5,78,Scheduling was smooth; had a really good time.,Increase volunteer support.
159,AI Workshop,Sports,ECE,1st Year,22,4,68,Lighting and stage setup were impressive.,Add more food stalls.
160,AI Workshop,Academic,Civil,3rd Year,18,2,65,"Event started late, timing should be improved.",Increase volunteer support.
161,Guest Lecture,Cultural,Civil,1st Year,17,1,69,Good experience but seating arrangement needs improvement.,Better sound system needed.
162,AI Workshop,Entertainment,BCA,1st Year,24,3,79,"Event started late, timing should be improved.",Start the event on time.
163,Tech Fest,Sports,Management,3rd Year,18,5,74,Loved the activities! Had a great time.,Include more fun activities.
164,Cultural Night,Sports,BCA,2nd Year,17,3,74,Scheduling was smooth; had a really good time.,Better sound system needed.
165,Hackathon,Academic,Civil,1st Year,24,2,45,Speakers were inspiring and knowledgeable.,Add more food stalls.
166,Sports Meet,Academic,Mechanical,3rd Year,19,3,86,Good experience but seating arrangement needs improvement.,Add more food stalls.
167,Freshers Party,Sports,BCA,1st Year,24,2,79,Amazing event! Very well organized.,Increase volunteer support.
168,Guest Lecture,Academic,Management,3rd Year,19,2,97,Loved the activities! Had a great time.,Include more fun activities.
169,Hackathon,Cultural,Management,1st Year,19,2,44,"Too crowded, management needs to improve.",Increase volunteer support.
170,AI Workshop,Academic,Management,1st Year,21,2,66,The host was engaging and the event was fun.,Better sound system needed.
171,Cultural Night,Academic,IT,1st Year,17,2,84,Speakers were inspiring and knowledgeable.,Make events more interactive.
172,Tech Fest,Academic,ECE,3rd Year,22,1,84,Scheduling was smooth; had a really good time.,Add more food stalls.
173,Freshers Party,Entertainment,Mechanical,4th Year,22,4,52,"Too crowded, management needs to improve.",Better sound system needed.
174,Sports Meet,Entertainment,CSE,2nd Year,22,5,90,"Too crowded, management needs to improve.",Provide shaded areas for outdoor events.
175,Tech Fest,Academic,IT,3rd Year,17,2,73,Amazing event! Very well organized.,Include more fun activities.
176,Annual Day,Technical,IT,1st Year,17,4,94,"Event started late, timing should be improved.",Make events more interactive.
177,Hackathon,Sports,BCA,2nd Year,23,1,58,Food stalls were great and affordable.,Better sound system needed.
178,AI Workshop,Cultural,ECE,2nd Year,21,2,83,Speakers were inspiring and knowledgeable.,Increase volunteer support.
179,Sports Meet,Technical,BBA,3rd Year,21,4,56,Good experience but seating arrangement needs improvement.,Start the event on time.
180,Annual Day,Entertainment,CSE,3rd Year,20,5,42,"Too crowded, management needs to improve.",Add more food stalls.
181,Annual Day,Cultural,BBA,4th Year,17,1,80,Food stalls were great and affordable.,Make events more interactive.
182,Guest Lecture,Entertainment,Civil,1st Year,24,1,42,The host was engaging and the event was fun.,Include more fun activities.
183,Hackathon,Academic,BBA,3rd Year,20,2,66,"Too crowded, management needs to improve.",Improve seating arrangement.
184,Freshers Party,Technical,BCA,1st Year,22,2,40,Volunteers were helpful and polite.,Add more food stalls.
185,Hackathon,Sports,ECE,1st Year,23,5,68,Speakers were inspiring and knowledgeable.,Start the event on time.
186,Sports Meet,Sports,Management,1st Year,23,3,54,Scheduling was smooth; had a really good time.,Improve seating arrangement.
187,Tech Fest,Sports,Civil,3rd Year,21,4,95,The host was engaging and the event was fun.,Provide shaded areas for outdoor events.
188,AI Workshop,Sports,Civil,3rd Year,18,2,86,Lighting and stage setup were impressive.,Make events more interactive.
189,Annual Day,Cultural,Management,2nd Year,18,4,44,Lighting and stage setup were impressive.,Provide shaded areas for outdoor events.
190,Tech Fest,Technical,IT,2nd Year,24,2,40,"Too crowded, management needs to improve.",Start the event on time.
191,Annual Day,Entertainment,BBA,2nd Year,23,3,97,Good experience but seating arrangement needs improvement.,Provide shaded areas for outdoor events.
192,Tech Fest,Academic,Civil,4th Year,23,1,58,Volunteers were helpful and polite.,Make events more interactive.
193,Guest Lecture,Sports,Civil,2nd Year,22,5,66,Scheduling was smooth; had a really good time.,Include more fun activities.
194,Sports Meet,Sports,Management,2nd Year,18,3,43,Amazing event! Very well organized.,Include more fun activities.
195,AI Workshop,Sports,BCA,4th Year,17,1,81,Speakers were inspiring and knowledgeable.,Provide shaded areas for outdoor events.
196,Annual Day,Cultural,Civil,4th Year,18,4,67,Food stalls were great and affordable.,Start the event on time.
197,AI Workshop,Sports,IT,4th Year,19,4,53,Food stalls were great and affordable.,Improve seating arrangement.
198,Tech Fest,Technical,CSE,2nd Year,17,3,91,Volunteers were helpful and polite.,Better sound system needed.
199,Sports Meet,Academic,BCA,3rd Year,20,5,83,"Too crowded, management needs to improve.",Improve seating arrangement.
200,Guest Lecture,Sports,IT,4th Year,17,3,88,"Event started late, timing should be improved.",Make events more interactive.
